bin,lower,upper,count,mean_p_class1,fraction_class1,abs_gap,ece_contribution
0,0.0,0.1,624,0.013873984368028794,0.030448717948717948,0.016574733580689154,0.008832308927711386
1,0.1,0.2,39,0.13714693830563468,0.23076923076923078,0.0936222924635961,0.003118078058138555
2,0.2,0.3,16,0.26078685000538826,0.1875,0.07328685000538826,0.0010013574723195663
3,0.3,0.4,14,0.3564845898321697,0.5,0.14351541016783032,0.0017158119063617632
4,0.4,0.5,10,0.4528620421886444,0.4,0.052862042188644376,0.0004514264917903021
5,0.5,0.6,11,0.5506960207765753,0.7272727272727273,0.17657670649615198,0.0016587051848485667
6,0.6,0.7,8,0.6771901324391365,0.875,0.1978098675608635,0.0013513910678795114
7,0.7,0.8,16,0.7644464708864689,0.8125,0.04805352911353111,0.0006565810980499555
8,0.8,0.9,31,0.8469733538166169,0.967741935483871,0.12076858166725413,0.0031971187290220993
9,0.9,1.0,402,0.9881879469351982,0.9850746268656716,0.0031133200695265817,0.0010687913475232159
