split,feature,pearson_with_label,class0_mean,class1_mean,class1_minus_class0
train,mean_intensity,0.04975441860317735,0.4106245952269897,0.41709348197370427,0.006468886746714586
train,std_intensity,0.08769716288913709,0.15023251857430353,0.15550174225968882,0.005269223685385294
train,p95_minus_p05,0.13190225530935618,0.48717780061576677,0.5145569320258455,0.02737913141007875
train,upper_minus_lower_mean,-0.11591392613425316,0.047507212674607065,0.029705949125880177,-0.017801263548726888
train,left_minus_right_mean,-0.011567614345160753,-0.01999095618821887,-0.02160691253297991,-0.0016159563447610409
train,center_minus_border_mean,-0.027315549597157505,-0.04407280545381647,-0.05234644316604832,-0.00827363771223185
train,bright_fraction,,0.5,0.5,0.0
train,dark_fraction,,0.5,0.5,0.0
test,mean_intensity,0.021812616570845773,0.41360240600828346,0.4164912557982256,0.0028888497899421384
test,std_intensity,0.04554054058202466,0.1512330959861963,0.153999834205577,0.002766738219380699
test,p95_minus_p05,0.07486855629501431,0.49063435606161737,0.5062477016517319,0.015613345590114569
test,upper_minus_lower_mean,-0.14289674859212115,0.048749732782193016,0.027302375729710372,-0.021447357052482643
test,left_minus_right_mean,-0.013067840150922024,-0.02043873003099617,-0.022247199445686303,-0.001808469414690133
test,center_minus_border_mean,-0.03079545593041769,-0.04182971799589797,-0.05135255758785037,-0.009522839591952402
test,bright_fraction,,0.5,0.5,0.0
test,dark_fraction,,0.5,0.5,0.0
