roi_name,feature,mean_class0,mean_class1,diff_class1_minus_class0,cohen_d
chin_mandible,p10,0.2258345727953646,0.26411823307224097,0.03828366027687638,0.5028824951122353
chin_mandible,mean,0.32134175269692034,0.3517477902313394,0.03040603753441906,0.3947136156598815
right_periocular,std,0.11629169426444504,0.1281751820276822,0.011883487763237152,0.2903697613614
perioral_mouth,mean,0.33467590272426606,0.3607486715360034,0.026072768811737312,0.2867614871231939
perioral_mouth,p90,0.40447300526830887,0.43202273307308076,0.027549727804771884,0.25723290720678643
perioral_mouth,p10,0.26702250173798314,0.2878205250618198,0.02079802332383668,0.24593387822358184
left_cheek_zygomatic,std,0.11333969075922613,0.10277376453121824,-0.010565926228007894,-0.2348898730432924
upper_brow_forehead,mean,0.5004497522998739,0.4707716921825082,-0.02967806011736568,-0.23381198844517184
nasal_midface,p10,0.2976327296760347,0.2806946548723405,-0.016938074803694192,-0.22167408572614286
chin_mandible,p90,0.42201732295530814,0.44512699763741226,0.02310967468210412,0.21201507315533424
right_periocular,p10,0.24528911734068834,0.23059560669465892,-0.014693510646029417,-0.2083281746456578
upper_brow_forehead,p10,0.3521945246612584,0.32536548478228433,-0.02682903987897406,-0.20661294226316565
right_periocular,grad_mean,0.06655076122187353,0.07010714754447221,0.0035563863225986786,0.16528615930932097
nasal_midface,std,0.1024594195228484,0.10939519076923569,0.006935771246387293,0.16316138128904617
upper_brow_forehead,grad_mean,0.05027458170773806,0.05349540765464847,0.003220825946910408,0.15848743601517637
right_cheek_zygomatic,grad_mean,0.054989194923115,0.057509800971245334,0.0025206060481303347,0.15330727488974952
nasal_midface,grad_mean,0.06853905609774369,0.07226444862317294,0.0037253925254292497,0.13614661849434082
nasal_midface,mean,0.43709775578092647,0.42452333413905674,-0.012574421641869726,-0.13104359918043637
left_periocular,grad_mean,0.06467903941869736,0.0676686143682849,0.0029895749495875423,0.12923258961572065
chin_mandible,grad_mean,0.04906225994781212,0.046233432765509334,-0.002828827182302783,-0.12844532484265697
left_cheek_zygomatic,p10,0.28156819576466524,0.29166266241020733,0.010094466645542088,0.1284101377077026
left_periocular,p10,0.22634954377456948,0.2175941773720326,-0.00875536640253688,-0.12804912749875244
left_cheek_zygomatic,grad_mean,0.057851487238098076,0.05536391991829019,-0.0024875673198078846,-0.12741057183875756
upper_brow_forehead,std,0.11471023924924709,0.11994358103707313,0.005233341787826043,0.12050449385614036
right_periocular,p90,0.5457017581992679,0.5598178882632525,0.0141161300639846,0.11778761782217932
upper_brow_forehead,p90,0.645095522845233,0.6302817493016201,-0.014813773543612907,-0.09936506611702593
left_cheek_zygomatic,p90,0.5563988876342774,0.5429784574455792,-0.013420430188698207,-0.09405824984652673
right_cheek_zygomatic,std,0.11377912294947438,0.10990540654353437,-0.003873716405940017,-0.09273728731999975
chin_mandible,std,0.08091577516799724,0.07754859527865905,-0.0033671798893381844,-0.08972084958014231
left_periocular,p90,0.5167529317626247,0.5068090068356644,-0.00994392492696028,-0.08054899612791973
perioral_mouth,std,0.05422033122016324,0.05596848476993581,0.00174815354977257,0.06731744519659186
right_cheek_zygomatic,p10,0.3073591402945695,0.3116702675639141,0.004311127269344572,0.05338143138186597
right_cheek_zygomatic,mean,0.4340258660360619,0.4364077828283752,0.00238191679231331,0.029802468869746742
left_periocular,mean,0.3647875234374294,0.36250341512382994,-0.002284108313599431,-0.028491582494895477
nasal_midface,p90,0.5668609195726889,0.5684343902394176,0.001573470666728638,0.011461297511272997
right_cheek_zygomatic,p90,0.5853274976765668,0.5847925983008838,-0.0005348993756829623,-0.004215910325013323
perioral_mouth,grad_mean,0.03733848737069854,0.037378821105155495,4.033373445695709e-05,0.0026704293888422707
left_periocular,std,0.11267313456921665,0.11258492518156286,-8.820938765378983e-05,-0.0021674871691176236
right_periocular,mean,0.3951844999083766,0.3953285718697213,0.0001440719613446939,0.001831397422226286
left_cheek_zygomatic,mean,0.410654001765781,0.4105871930538166,-6.680871196440563e-05,-0.0007790101809281553
