epoch,val_loss,val_accuracy
1,0.6897731928115195,0.5829787234042553
50,0.6295958421331771,0.6510638297872341
100,0.6092875283449254,0.6595744680851063
150,0.5985737387170182,0.6723404255319149
200,0.5916196287946498,0.6680851063829787
250,0.5865698620359948,0.6680851063829787
300,0.5826541976091709,0.676595744680851
350,0.5794846286481999,0.6936170212765957
400,0.576837499154375,0.6978723404255319
450,0.5745720652031138,0.7063829787234043
500,0.5725945169145756,0.7063829787234043
550,0.5708399442757698,0.7063829787234043
600,0.5692621556685326,0.7063829787234043
650,0.5678274099814131,0.7148936170212766
700,0.5665106021343393,0.7148936170212766
750,0.5652927102243647,0.7148936170212766
800,0.5641589837822508,0.7148936170212766
850,0.5630978495675198,0.7191489361702128
900,0.5620999874428232,0.7191489361702128
950,0.5611578322312933,0.7191489361702128
1000,0.5602651641565435,0.7191489361702128
