variant,top1_roi,top1_balanced_accuracy,top1_auroc,top3_overlap_with_original,top3_roi
expand_1px,right_cheek_zygomatic,0.6643966547192354,0.7197461170848268,3,right_cheek_zygomatic;right_periocular;upper_brow_forehead
original,right_cheek_zygomatic,0.6551015531660693,0.6988082437275986,3,right_cheek_zygomatic;right_periocular;upper_brow_forehead
shift_down_1,right_cheek_zygomatic,0.6450433094384708,0.6976045400238948,2,right_cheek_zygomatic;upper_brow_forehead;left_cheek_zygomatic
shift_down_left_1,right_cheek_zygomatic,0.6530465949820788,0.713452807646356,2,right_cheek_zygomatic;left_cheek_zygomatic;upper_brow_forehead
shift_down_right_1,right_cheek_zygomatic,0.6354360812425328,0.6917114695340503,2,right_cheek_zygomatic;upper_brow_forehead;left_cheek_zygomatic
shift_left_1,right_cheek_zygomatic,0.6664575866188769,0.7144802867383513,2,right_cheek_zygomatic;chin_mandible;right_periocular
shift_right_1,right_cheek_zygomatic,0.6378195937873357,0.6930854241338112,3,right_cheek_zygomatic;upper_brow_forehead;right_periocular
shift_up_1,right_cheek_zygomatic,0.6459229390681003,0.7028793309438471,2,right_cheek_zygomatic;left_periocular;right_periocular
shift_up_left_1,right_cheek_zygomatic,0.6538425925925926,0.7189814814814814,2,right_cheek_zygomatic;left_periocular;right_periocular
shift_up_right_1,right_cheek_zygomatic,0.6388664874551971,0.6990531660692951,2,right_cheek_zygomatic;right_periocular;left_cheek_zygomatic
shrink_1px,left_cheek_zygomatic,0.6355241935483871,0.6595878136200717,2,left_cheek_zygomatic;right_cheek_zygomatic;right_periocular
