fill_strategy,roi_index,roi_name,mean_evidence_drop,median_evidence_drop,sd_evidence_drop,prediction_change_rate
train_mean,1,upper_brow_forehead,0.04913458600640297,0.0020610690116882324,0.16269609332084656,0.0623398804440649
train_mean,2,left_periocular,0.020828858017921448,0.0004891157150268555,0.10944712162017822,0.029888983774551667
train_mean,3,right_periocular,0.026388179510831833,0.0007315278053283691,0.11343074589967728,0.035866780529461996
train_mean,4,nasal_midface,0.02567386068403721,0.00019228458404541016,0.1193634644150734,0.03842869342442357
train_mean,5,left_cheek_zygomatic,0.04059412330389023,0.0011071562767028809,0.17465662956237793,0.059777967549103334
train_mean,6,right_cheek_zygomatic,0.04475213214755058,0.0021156668663024902,0.16697828471660614,0.06575576430401367
train_mean,7,perioral_mouth,0.013141484931111336,0.00010788440704345703,0.09191402792930603,0.026473099914602904
train_mean,8,chin_mandible,0.03184190019965172,0.0005501508712768555,0.13823501765727997,0.04867634500426986
zero,1,upper_brow_forehead,0.37054625153541565,0.12082010507583618,0.49229949712753296,0.4713919726729291
zero,2,left_periocular,0.04940221086144447,0.0019838809967041016,0.17485852539539337,0.0631938514090521
zero,3,right_periocular,0.2854211926460266,0.07415097951889038,0.4206267297267914,0.35866780529462
zero,4,nasal_midface,0.3505621552467346,0.13891273736953735,0.472439169883728,0.45345858240819814
zero,5,left_cheek_zygomatic,0.44895750284194946,0.6396022439002991,0.5236457586288452,0.5653287788215201
zero,6,right_cheek_zygomatic,0.162349134683609,0.008321166038513184,0.31723758578300476,0.19385140905209222
zero,7,perioral_mouth,0.09757966548204422,5.557358963415027e-05,0.25532224774360657,0.11187019641332195
zero,8,chin_mandible,0.2530185282230377,-0.00020378828048706055,0.4175407290458679,0.3134073441502989
blur3_same_image,1,upper_brow_forehead,0.001712059136480093,4.363059997558594e-05,0.01955086924135685,0.006831767719897523
blur3_same_image,2,left_periocular,0.0022899426985532045,5.7697296142578125e-05,0.021562879905104637,0.006831767719897523
blur3_same_image,3,right_periocular,0.0013519140193238854,4.011392593383789e-05,0.019897425547242165,0.005977796754910333
blur3_same_image,4,nasal_midface,0.0009727998403832316,5.519390106201172e-05,0.016239937394857407,0.004269854824935952
blur3_same_image,5,left_cheek_zygomatic,0.0006318929372355342,6.574392318725586e-05,0.018745576962828636,0.004269854824935952
blur3_same_image,6,right_cheek_zygomatic,0.0010137089993804693,3.814697265625e-05,0.021813010796904564,0.005123825789923143
blur3_same_image,7,perioral_mouth,0.0002143896563211456,3.3974647521972656e-06,0.014122202061116695,0.004269854824935952
blur3_same_image,8,chin_mandible,0.001289604464545846,7.3909759521484375e-06,0.01631677709519863,0.0034158838599487617
