seed,roi_index,roi_name,n,accuracy,balanced_accuracy,f1_class1,auroc,auprc,brier_score,missing_yunet_count,mean_dynamic_roi_pixels,tn,fp,fn,tp
0,1,upper_brow_forehead,1171,0.5832621690862511,0.6000238948626045,0.5906040268456376,0.6619802867383513,0.6319587726355458,0.27815439895792193,0,230.30145175064047,331,344,144,352
0,2,left_periocular,1171,0.5977796754910333,0.5890919952210274,0.5285285285285286,0.6258811230585424,0.5367498768269483,0.25605054375232184,0,123.96754910333048,436,239,232,264
0,3,right_periocular,1171,0.61400512382579,0.6170669056152926,0.5830258302583026,0.6580017921146953,0.6011075509065651,0.2576854225172581,0,123.73783091374894,403,272,180,316
0,4,nasal_midface,1171,0.6524338172502135,0.6421132019115889,0.5834186284544525,0.6905615292712067,0.6012752325029599,0.23022007442968814,0,79.9530315969257,479,196,211,285
0,5,left_cheek_zygomatic,1171,0.6404782237403929,0.6389605734767025,0.5971291866028707,0.6827777777777777,0.64695662144442,0.24722941908498117,0,139.95559350982066,438,237,184,312
0,6,right_cheek_zygomatic,1171,0.6618274978650726,0.6486574074074074,0.5849056603773585,0.7068817204301076,0.6524476295956274,0.2259336714257139,0,149.49103330486764,496,179,217,279
0,7,perioral_mouth,1171,0.6635354397950469,0.6635050776583035,0.6254752851711027,0.7101373954599761,0.6770793306378846,0.2420260567608355,0,171.34842015371478,448,227,167,329
0,8,chin_mandible,1171,0.5969257045260461,0.5856780167264037,0.5183673469387756,0.5965412186379928,0.5619950566951782,0.2582446868765396,0,52.9265584970111,445,230,242,254
1,1,upper_brow_forehead,1171,0.587532023911187,0.607202807646356,0.6018136850783182,0.6729330943847072,0.6360926642786968,0.2673260945343428,0,230.30145175064047,323,352,131,365
1,2,left_periocular,1171,0.6362083689154568,0.6210887096774194,0.548728813559322,0.6553225806451612,0.5647457107674552,0.240156620060458,0,123.96754910333048,486,189,237,259
1,3,right_periocular,1171,0.6029035012809565,0.6197341696535246,0.6089150546677881,0.673784348864994,0.6010895237973805,0.2589244754446602,0,123.73783091374894,344,331,134,362
1,4,nasal_midface,1171,0.6293766011955594,0.6178360215053764,0.5534979423868314,0.6593906810035842,0.5785101574726172,0.23807148330281827,0,79.9530315969257,468,207,227,269
1,5,left_cheek_zygomatic,1171,0.609735269000854,0.6053434886499403,0.5558794946550049,0.6444713261648746,0.6291650472603167,0.25815641642226805,0,139.95559350982066,428,247,210,286
1,6,right_cheek_zygomatic,1171,0.6626814688300597,0.6579525089605736,0.6116027531956736,0.708909796893668,0.6508339307245534,0.22413138995229076,0,149.49103330486764,465,210,185,311
1,7,perioral_mouth,1171,0.6669513236549958,0.66432945041816,0.622093023255814,0.7151284348864995,0.6912880726847012,0.22669374701991332,0,171.34842015371478,460,215,175,321
1,8,chin_mandible,1171,0.5892399658411615,0.5621699522102748,0.4426419466975667,0.565594384707288,0.5448886840161875,0.2515111203408548,0,52.9265584970111,499,176,305,191
2,1,upper_brow_forehead,1171,0.5815542271562767,0.598542413381123,0.5896147403685091,0.6723476702508961,0.6317655738087719,0.2702127951811541,0,230.30145175064047,329,346,144,352
2,2,left_periocular,1171,0.6174210076857387,0.6042577658303465,0.5343035343035343,0.6493428912783752,0.5644454080454009,0.24399072388737836,0,123.96754910333048,466,209,239,257
2,3,right_periocular,1171,0.5772843723313408,0.5924327956989247,0.5808636748518204,0.6464545997610514,0.5751208045639788,0.2735368478705821,0,123.73783091374894,333,342,153,343
2,4,nasal_midface,1171,0.6362083689154568,0.6323163082437275,0.5856031128404668,0.6819862604540023,0.5929106561559405,0.24155666974083417,0,79.9530315969257,444,231,195,301
2,5,left_cheek_zygomatic,1171,0.6319385140905209,0.6331571087216248,0.5960637300843487,0.6841517323775388,0.6314760849781154,0.24762294140901203,0,139.95559350982066,422,253,178,318
2,6,right_cheek_zygomatic,1171,0.6643894107600341,0.6719982078853046,0.6456266907123535,0.7299820788530467,0.6748489640490439,0.225338233184168,0,149.49103330486764,420,255,138,358
2,7,perioral_mouth,1171,0.6763450042698548,0.6762201314217443,0.6387035271687321,0.7235274790919953,0.6838915021544628,0.23755411235826987,0,171.34842015371478,457,218,161,335
2,8,chin_mandible,1171,0.5815542271562767,0.5573745519713261,0.4469525959367946,0.5605645161290322,0.5345710008942152,0.26424983647639677,0,52.9265584970111,483,192,298,198
42,1,upper_brow_forehead,1171,0.5422715627668659,0.5601911589008363,0.5562913907284769,0.636173835125448,0.599935668271558,0.2982432108683681,0,230.30145175064047,299,376,160,336
42,2,left_periocular,1171,0.5798462852263023,0.5724671445639187,0.5138339920948617,0.6104988052568697,0.517320014346949,0.26679786180220183,0,123.96754910333048,419,256,236,260
42,3,right_periocular,1171,0.5678906917164817,0.5912350657108721,0.5932475884244371,0.648273596176822,0.5787905872423684,0.2818220381365895,0,123.73783091374894,296,379,127,369
42,4,nasal_midface,1171,0.6251067463706234,0.6248252688172042,0.5846736045411541,0.667873357228196,0.5800354176397855,0.24832846461070524,0,79.9530315969257,423,252,187,309
42,5,left_cheek_zygomatic,1171,0.5849701110162254,0.5934856630824372,0.5699115044247788,0.6260304659498208,0.5845023668348373,0.2891289702146484,0,139.95559350982066,363,312,174,322
42,6,right_cheek_zygomatic,1171,0.6618274978650726,0.657479091995221,0.6117647058823529,0.7095519713261649,0.6441673938037269,0.22702166790417816,0,149.49103330486764,463,212,184,312
42,7,perioral_mouth,1171,0.6421861656703672,0.6535409199522102,0.632778264680105,0.712858422939068,0.6797918539890881,0.2576890420055688,0,171.34842015371478,391,284,135,361
42,8,chin_mandible,1171,0.5807002561912895,0.5670594384707288,0.49119170984455957,0.5834826762246117,0.5588724851862846,0.2682641775276923,0,52.9265584970111,443,232,259,237
1024,1,upper_brow_forehead,1171,0.5900939368061486,0.6137022102747909,0.6135265700483092,0.680352449223417,0.6341759765563763,0.2562531428428782,0,230.30145175064047,310,365,115,381
1024,2,left_periocular,1171,0.6148590947907772,0.6023028673835125,0.5336091003102379,0.6553076463560334,0.5806819970934587,0.23185948589902056,0,123.96754910333048,462,213,238,258
1024,3,right_periocular,1171,0.6157130657557643,0.6142712066905616,0.5714285714285715,0.6549133811230585,0.6073805052199238,0.24337836639405644,0,123.73783091374894,421,254,196,300
1024,4,nasal_midface,1171,0.6567036720751495,0.6565098566308244,0.6178707224334601,0.7031332138590203,0.6194736187211916,0.21796495560633206,0,79.9530315969257,444,231,171,325
1024,5,left_cheek_zygomatic,1171,0.591801878736123,0.6002135603345281,0.5762411347517731,0.655731780167264,0.6366412818033976,0.25212882286720373,0,139.95559350982066,368,307,171,325
1024,6,right_cheek_zygomatic,1171,0.6567036720751495,0.6466188769414576,0.588957055214724,0.7096804062126643,0.6490094695758288,0.21719007219704112,0,149.49103330486764,481,194,208,288
1024,7,perioral_mouth,1171,0.6652433817250214,0.6609767025089606,0.615686274509804,0.6967592592592593,0.6725838606112454,0.23361447061172505,0,171.34842015371478,465,210,182,314
1024,8,chin_mandible,1171,0.591801878736123,0.575352449223417,0.4925690021231422,0.5768040621266428,0.554951019180694,0.2517950764520874,0,52.9265584970111,461,214,264,232
